,Time,Production
123,2021-01-01,15.111
124,2021-01-02,14.387
125,2021-01-03,14.09
126,2021-01-04,13.028
127,2021-01-05,14.682
128,2021-01-06,14.254
129,2021-01-07,13.684
130,2021-01-08,15.153
131,2021-01-09,15.425
132,2021-01-10,14.691
133,2021-01-11,15.811
134,2021-01-12,15.824
135,2021-01-13,14.627
136,2021-01-14,15.52
137,2021-01-15,15.983
138,2021-01-16,15.659
139,2021-01-17,15.818
140,2021-01-18,13.972
141,2021-01-19,8.171
142,2021-01-20,9.233
143,2021-01-21,16.448
144,2021-01-22,7.837
145,2021-01-23,7.367
146,2021-01-24,12.127
147,2021-01-25,10.016
148,2021-01-26,17.208
149,2021-01-27,18.326
150,2021-01-28,16.712
151,2021-01-29,9.366
152,2021-01-30,18.678
153,2021-01-31,13.08
431,2021-02-01,8.039
432,2021-02-02,13.316
433,2021-02-03,18.925
434,2021-02-04,17.594
435,2021-02-05,19.595
436,2021-02-06,19.676
437,2021-02-07,19.834
438,2021-02-08,18.833
439,2021-02-09,9.483
440,2021-02-10,12.887
441,2021-02-11,19.667
442,2021-02-12,13.156
443,2021-02-13,13.229
444,2021-02-14,17.115
445,2021-02-15,14.585
446,2021-02-16,17.126
447,2021-02-17,21.494
448,2021-02-18,23.23
449,2021-02-19,22.465
450,2021-02-20,20.431
451,2021-02-21,23.617
452,2021-02-22,23.072
453,2021-02-23,23.063
454,2021-02-24,23.004
455,2021-02-25,23.2
456,2021-02-26,23.775
457,2021-02-27,23.268
458,2021-02-28,24.164
31,2021-03-01,23.987
32,2021-03-02,24.249
33,2021-03-03,6.438
34,2021-03-04,25.077
35,2021-03-05,25.119
36,2021-03-06,25.131
37,2021-03-07,15.288
38,2021-03-08,15.464
39,2021-03-09,21.744
40,2021-03-10,20.345
41,2021-03-11,22.102
42,2021-03-12,23.718
43,2021-03-13,18.16
44,2021-03-14,16.952
45,2021-03-15,11.906
46,2021-03-16,24.673
47,2021-03-17,26.198
48,2021-03-18,27.52
49,2021-03-19,27.249
50,2021-03-20,24.695
51,2021-03-21,27.354
52,2021-03-22,28.04
53,2021-03-23,17.851
54,2021-03-24,28.308
55,2021-03-25,14.37
56,2021-03-26,22.689
57,2021-03-27,29.059
58,2021-03-28,28.876
59,2021-03-29,29.225
60,2021-03-30,28.174
61,2021-03-31,28.823
699,2021-04-01,23.863
700,2021-04-02,28.985
701,2021-04-03,26.485
702,2021-04-04,28.515
703,2021-04-05,28.219
704,2021-04-06,29.088
705,2021-04-07,28.056
706,2021-04-08,29.978
707,2021-04-09,29.475
708,2021-04-10,28.225
709,2021-04-11,26.501
710,2021-04-12,27.044
711,2021-04-13,6.768
712,2021-04-14,24.103
713,2021-04-15,28.561
714,2021-04-16,29.856
715,2021-04-17,30.32
716,2021-04-18,31.621
717,2021-04-19,31.612
718,2021-04-20,31.556
719,2021-04-21,12.179
720,2021-04-22,8.927
721,2021-04-23,11.925
722,2021-04-24,20.185
723,2021-04-25,27.649
724,2021-04-26,17.468
725,2021-04-27,28.145
726,2021-04-28,32.847
727,2021-04-29,32.617
728,2021-04-30,32.387
154,2021-05-01,30.304
155,2021-05-02,19.477
156,2021-05-03,30.523
157,2021-05-04,31.955
158,2021-05-05,29.791
159,2021-05-06,29.309
160,2021-05-07,32.383
161,2021-05-08,30.721
162,2021-05-09,24.786
163,2021-05-10,21.199
164,2021-05-11,27.869
165,2021-05-12,24.415
166,2021-05-13,25.547
167,2021-05-14,26.612
168,2021-05-15,20.32
169,2021-05-16,8.379
170,2021-05-17,10.331
171,2021-05-18,22.626
172,2021-05-19,28.332
173,2021-05-20,21.94
174,2021-05-21,29.91
175,2021-05-22,32.566
176,2021-05-23,34.124
177,2021-05-24,33.726
178,2021-05-25,31.315
179,2021-05-26,33.131
180,2021-05-27,33.625
181,2021-05-28,32.537
182,2021-05-29,25.515
183,2021-05-30,29.387
184,2021-05-31,29.366
459,2021-06-01,31.573
460,2021-06-02,27.762
461,2021-06-03,32.53
462,2021-06-04,32.318
463,2021-06-05,32.838
464,2021-06-06,29.685
465,2021-06-07,11.26
466,2021-06-08,29.95
467,2021-06-09,29.055
468,2021-06-10,34.42
469,2021-06-11,33.739
470,2021-06-12,33.644
471,2021-06-13,33.373
472,2021-06-14,32.398
473,2021-06-15,30.143
474,2021-06-16,26.366
475,2021-06-17,29.428
476,2021-06-18,29.129
477,2021-06-19,32.282
478,2021-06-20,28.081
479,2021-06-21,31.499
480,2021-06-22,16.313
481,2021-06-23,19.739
482,2021-06-24,31.162
483,2021-06-25,31.664
484,2021-06-26,32.917
485,2021-06-27,32.423
486,2021-06-28,31.987
487,2021-06-29,26.018
488,2021-06-30,31.52
972,2021-07-01,31.483
973,2021-07-02,31.458
974,2021-07-03,31.099
975,2021-07-04,31.418
976,2021-07-05,32.248
977,2021-07-06,32.967
978,2021-07-07,31.034
979,2021-07-08,28.254
980,2021-07-09,30.998
981,2021-07-10,29.914
982,2021-07-11,29.592
983,2021-07-12,28.355
984,2021-07-13,29.893
985,2021-07-14,30.101
986,2021-07-15,30.326
987,2021-07-16,30.588
988,2021-07-17,28.386
989,2021-07-18,30.534
990,2021-07-19,30.816
991,2021-07-20,30.99
992,2021-07-21,30.442
993,2021-07-22,24.437
994,2021-07-23,27.775
995,2021-07-24,25.623
996,2021-07-25,20.838
997,2021-07-26,7.776
998,2021-07-27,27.387
999,2021-07-28,31.261
1000,2021-07-29,31.437
1001,2021-07-30,27.567
1002,2021-07-31,30.938
92,2021-08-01,31.633
93,2021-08-02,32.114
94,2021-08-03,31.851
95,2021-08-04,30.678
96,2021-08-05,30.252
97,2021-08-06,26.097
98,2021-08-07,30.715
99,2021-08-08,28.801
100,2021-08-09,30.123
101,2021-08-10,27.359
102,2021-08-11,28.451
103,2021-08-12,28.603
104,2021-08-13,29.026
105,2021-08-14,22.901
106,2021-08-15,28.898
107,2021-08-16,27.138
108,2021-08-17,27.335
109,2021-08-18,12.566
110,2021-08-19,22.254
111,2021-08-20,13.355
112,2021-08-21,12.869
113,2021-08-22,13.806
114,2021-08-23,25.572
115,2021-08-24,27.326
116,2021-08-25,28.172
117,2021-08-26,28.711
118,2021-08-27,28.788
119,2021-08-28,27.509
120,2021-08-29,18.695
121,2021-08-30,23.66
122,2021-08-31,10.559
185,2021-09-01,17.962
186,2021-09-02,26.192
187,2021-09-03,26.118
188,2021-09-04,27.934
189,2021-09-05,26.862
190,2021-09-06,26.26
191,2021-09-07,24.411
192,2021-09-08,25.207
193,2021-09-09,25.348
194,2021-09-10,25.439
195,2021-09-11,25.918
196,2021-09-12,26.443
197,2021-09-13,25.55
198,2021-09-14,25.768
199,2021-09-15,26.202
200,2021-09-16,25.94
201,2021-09-17,24.083
202,2021-09-18,25.025
203,2021-09-19,24.857
204,2021-09-20,25.194
205,2021-09-21,24.104
206,2021-09-22,24.161
207,2021-09-23,24.2
208,2021-09-24,14.766
209,2021-09-25,20.953
210,2021-09-26,5.308
211,2021-09-27,6.56
212,2021-09-28,14.815
213,2021-09-29,23.238
214,2021-09-30,24.227
757,2021-10-01,24.005
758,2021-10-02,22.798
759,2021-10-03,20.403
760,2021-10-04,12.802
761,2021-10-05,16.362
762,2021-10-06,8.169
763,2021-10-07,7.512
764,2021-10-08,10.648
765,2021-10-09,22.766
766,2021-10-10,23.083
767,2021-10-11,14.379
768,2021-10-12,23.189
769,2021-10-13,22.412
770,2021-10-14,21.963
771,2021-10-15,21.538
772,2021-10-16,21.573
773,2021-10-17,20.956
774,2021-10-18,8.331
775,2021-10-19,21.498
776,2021-10-20,21.221
777,2021-10-21,20.821
778,2021-10-22,17.021
779,2021-10-23,16.665
780,2021-10-24,19.899
781,2021-10-25,6.658
782,2021-10-26,18.937
783,2021-10-27,19.702
784,2021-10-28,19.076
785,2021-10-29,18.968
786,2021-10-30,18.064
787,2021-10-31,16.843
577,2021-11-01,13.38
578,2021-11-02,15.178
579,2021-11-03,17.859
580,2021-11-04,17.272
581,2021-11-05,17.498
582,2021-11-06,14.323
583,2021-11-07,16.705
584,2021-11-08,16.968
585,2021-11-09,16.902
586,2021-11-10,16.047
587,2021-11-11,16.532
588,2021-11-12,16.365
589,2021-11-13,16.324
590,2021-11-14,16.291
591,2021-11-15,16.24
592,2021-11-16,13.811
593,2021-11-17,15.698
594,2021-11-18,11.969
595,2021-11-19,10.277
596,2021-11-20,12.132
597,2021-11-21,14.589
598,2021-11-22,12.628
599,2021-11-23,10.66
600,2021-11-24,14.462
601,2021-11-25,15.571
602,2021-11-26,15.019
603,2021-11-27,14.878
604,2021-11-28,14.607
605,2021-11-29,14.446
606,2021-11-30,14.362
941,2021-12-01,13.985
942,2021-12-02,13.024
943,2021-12-03,11.607
944,2021-12-04,10.241
945,2021-12-05,12.864
946,2021-12-06,13.225
947,2021-12-07,2.778
948,2021-12-08,13.316
949,2021-12-09,3.322
950,2021-12-10,8.866
951,2021-12-11,14.632
952,2021-12-12,14.436
953,2021-12-13,3.23
954,2021-12-14,2.29
955,2021-12-15,14.521
956,2021-12-16,13.632
957,2021-12-17,14.429
958,2021-12-18,14.859
959,2021-12-19,14.57
960,2021-12-20,11.844
961,2021-12-21,7.422
962,2021-12-22,9.263
963,2021-12-23,3.867
964,2021-12-24,10.119
965,2021-12-25,5.704
966,2021-12-26,11.704
967,2021-12-27,9.301
968,2021-12-28,8.47
969,2021-12-29,7.19
970,2021-12-30,10.774
971,2021-12-31,7.555
308,2022-01-01,13.753
309,2022-01-02,15.102
310,2022-01-03,15.291
311,2022-01-04,14.829
312,2022-01-05,14.689
313,2022-01-06,14.556
314,2022-01-07,13.184
315,2022-01-08,11.35
316,2022-01-09,14.877
317,2022-01-10,9.627
318,2022-01-11,14.759
319,2022-01-12,11.549
320,2022-01-13,7.809
321,2022-01-14,13.375
322,2022-01-15,4.612
323,2022-01-16,10.035
324,2022-01-17,10.206
325,2022-01-18,9.461
326,2022-01-19,10.875
327,2022-01-20,16.297
328,2022-01-21,16.145
329,2022-01-22,16.361
330,2022-01-23,16.462
331,2022-01-24,16.535
332,2022-01-25,15.738
333,2022-01-26,16.407
334,2022-01-27,17.298
335,2022-01-28,14.408
336,2022-01-29,8.738
337,2022-01-30,17.442
338,2022-01-31,10.941
489,2022-02-01,9.221
490,2022-02-02,18.175
491,2022-02-03,18.321
492,2022-02-04,18.582
493,2022-02-05,19.039
494,2022-02-06,18.717
495,2022-02-07,18.873
496,2022-02-08,19.009
497,2022-02-09,18.837
498,2022-02-10,19.192
499,2022-02-11,19.079
500,2022-02-12,19.163
501,2022-02-13,19.937
502,2022-02-14,20.069
503,2022-02-15,8.027
504,2022-02-16,20.482
505,2022-02-17,21.865
506,2022-02-18,21.896
507,2022-02-19,21.554
508,2022-02-20,19.633
509,2022-02-21,12.913
510,2022-02-22,11.737
511,2022-02-23,19.341
512,2022-02-24,23.456
513,2022-02-25,23.192
514,2022-02-26,23.483
515,2022-02-27,20.046
516,2022-02-28,23.177
0,2022-03-01,23.552
1,2022-03-02,22.005
2,2022-03-03,22.728
3,2022-03-04,16.094
4,2022-03-05,17.845
5,2022-03-06,19.526
6,2022-03-07,24.897
7,2022-03-08,25.213
8,2022-03-09,24.91
9,2022-03-10,18.531
10,2022-03-11,25.873
11,2022-03-12,25.522
12,2022-03-13,25.359
13,2022-03-14,25.232
14,2022-03-15,24.808
15,2022-03-16,23.373
16,2022-03-17,25.759
17,2022-03-18,25.795
18,2022-03-19,23.701
19,2022-03-20,21.612
20,2022-03-21,25.217
21,2022-03-22,26.337
22,2022-03-23,26.796
23,2022-03-24,26.81
24,2022-03-25,26.284
25,2022-03-26,26.784
26,2022-03-27,26.987
27,2022-03-28,14.315
28,2022-03-29,21.817
29,2022-03-30,23.021
30,2022-03-31,10.361
607,2022-04-01,22.126
608,2022-04-02,6.068
609,2022-04-03,7.334
610,2022-04-04,28.441
611,2022-04-05,28.068
612,2022-04-06,28.04
613,2022-04-07,29.078
614,2022-04-08,28.652
615,2022-04-09,28.784
616,2022-04-10,13.594
617,2022-04-11,25.949
618,2022-04-12,29.062
619,2022-04-13,30.775
620,2022-04-14,30.385
621,2022-04-15,30.294
622,2022-04-16,25.25
623,2022-04-17,30.884
624,2022-04-18,29.994
625,2022-04-19,30.776
626,2022-04-20,27.35
627,2022-04-21,31.283
628,2022-04-22,20.459
629,2022-04-23,31.85
630,2022-04-24,30.976
631,2022-04-25,31.014
632,2022-04-26,29.843
633,2022-04-27,29.681
634,2022-04-28,23.975
635,2022-04-29,31.513
636,2022-04-30,31.621
339,2022-05-01,26.335
340,2022-05-02,29.737
341,2022-05-03,25.117
342,2022-05-04,32.018
343,2022-05-05,30.074
344,2022-05-06,31.644
345,2022-05-07,31.143
346,2022-05-08,17.99
347,2022-05-09,30.918
348,2022-05-10,32.562
349,2022-05-11,32.886
350,2022-05-12,32.869
351,2022-05-13,32.243
352,2022-05-14,31.314
353,2022-05-15,30.515
354,2022-05-16,31.658
355,2022-05-17,28.489
356,2022-05-18,30.503
357,2022-05-19,27.916
358,2022-05-20,10.581
359,2022-05-21,9.165
360,2022-05-22,22.165
361,2022-05-23,23.965
362,2022-05-24,30.058
363,2022-05-25,32.168
364,2022-05-26,29.81
365,2022-05-27,25.292
366,2022-05-28,11.748
367,2022-05-29,25.694
368,2022-05-30,30.63
369,2022-05-31,32.967
401,2022-06-01,31.768
402,2022-06-02,31.324
